user_id,date,nb_actions,nb_echecs,volume_total,nb_acces_nuit,nb_weekend,amplitude_horaire,prediction_raw,score_anomalie,est_detecte,severite
USR_ADM_01,2026-04-15,9,0,264,0,0,6,1,0.5084966355781042,0,MOYEN
USR_ADM_01,2026-04-16,8,0,0,0,0,6,1,0.4187736591898949,0,FAIBLE
USR_ADM_01,2026-04-17,7,0,0,0,0,8,1,0.39480519939914205,0,FAIBLE
USR_ADM_01,2026-04-18,8,0,0,0,8,7,1,0.520437225730417,0,MOYEN
USR_ADM_01,2026-04-19,5,0,1,0,5,8,1,0.4304954730867632,0,FAIBLE
USR_ADM_01,2026-04-20,10,0,459,1,0,16,-1,0.6401834603116233,1,ÉLEVÉ
USR_ADM_01,2026-04-21,4,0,0,0,0,7,1,0.3659017499762761,0,FAIBLE
USR_ADM_01,2026-04-22,4,0,335,0,0,9,1,0.45887465859994847,0,MOYEN
USR_ADM_01,2026-04-23,12,0,289,0,0,8,-1,0.5603639189216798,1,ÉLEVÉ
USR_ADM_01,2026-04-24,3,0,0,0,0,5,1,0.37404319410036496,0,FAIBLE
USR_ADM_01,2026-04-25,7,0,2,1,7,13,-1,0.5823757050768115,1,ÉLEVÉ
USR_ADM_01,2026-04-26,7,1,15,0,7,8,1,0.5533138878918942,0,ÉLEVÉ
USR_ADM_01,2026-04-27,8,0,3,0,0,8,1,0.40697386266809715,0,FAIBLE
USR_ADM_01,2026-04-28,9,0,613,0,0,9,-1,0.5730819796263986,1,ÉLEVÉ
USR_ADM_01,2026-04-29,6,0,235,0,0,6,1,0.45661845376681,0,MOYEN
USR_ADM_01,2026-04-30,8,0,0,0,0,8,1,0.4054550947641529,0,FAIBLE
USR_ADM_01,2026-05-01,4,0,0,0,0,7,1,0.3659017499762761,0,FAIBLE
USR_ADM_01,2026-05-02,13,0,453,0,13,8,-1,0.6995236488959804,1,ÉLEVÉ
USR_ADM_01,2026-05-03,9,0,9,1,9,14,-1,0.6152849850773827,1,ÉLEVÉ
USR_ADM_01,2026-05-04,5,1,399,0,0,9,1,0.5501300920554353,0,ÉLEVÉ
USR_ADM_01,2026-05-05,10,0,3,1,0,15,1,0.5229979663226396,0,MOYEN
USR_ADM_01,2026-05-06,10,0,1,1,0,14,1,0.5233148940023962,0,MOYEN
USR_ADM_01,2026-05-07,11,0,407,1,0,16,-1,0.6410848909190708,1,ÉLEVÉ
